Part_Number,Barcode,Unit,Material_Name,Material_Desc,Leadtime,Stock,Safety_Stock,Max_Stock,Total_Purchase,Price,Supplier_Name,Supplier_Email
CH01,,Chai,Dung moi V824-D,Dung môi V824-D,7,59,99,200,20,0,HUYNH LONG,hung.duongquang@se.com
CH02,,Chai,Muc V854-D,Muc V854-D,7,180,99,200,0,0,HUYNH LONG,hung.duongquang@se.com
CH03,,Lit,cap dieu khien cao ap,Con 90,2,152,99,200,0,685000,DIEU HUY,hung.duongquang@se.com
CH04,,chai,Dung moi 1006 chai 750ml,Dung moi 1006 chai 750ml/ Solvent ,3,60,99,200,60,950000,DIEU HUY,hung.duongquang@se.com
CH05,,Cai,Duong inox,Duong inox,7,10,99,200,30,2000000,DIEU HUY,hung.duongquang@se.com
CH06,8936095175731, Hop ,Keo 502/ Glue 502 ,Keo 502/ Glue 502 ,3,10,99,200,10,695000,DIEU HUY,hung.duongquang@se.com
CH07,5010266454160,chai,Keo LOCTITE 454 - 20Gr,KEO LOCTITE 454 - 20Gr,5,10,99,200,10,1098098,NGAN ANH PHAT,hung.duongquang@se.com
CH08,,thung,Mo bo BP & LS-EP2," Mo Bo BP, LS-EP2/ Grease ",3,10,99,200,10,11085000,DIEU HUY,hung.duongquang@se.com
CH09,,Thung,Mo bo Downcorning,Mo Bo Downcorning (18kg),120,10,99,200,10,380000,TOAN TRE,hung.duongquang@se.com
CH10,,Thung,Mo bo Rocol, Mo Bo Rocol/ Rocol Grease ,15,10,99,200,10,140000,TOAN TRE,hung.duongquang@se.com
CH11,,chai,Muc in 1001 chai 750ml/ Printing Ink ,Muc in 1001 chai 750ml/ Printing Ink ,6,10,99,200,10,165000,TOAN TRE,hung.duongquang@se.com
CH12,,cuon,Muc Ribbon Wax 100C(110mmx300m-FO),Muc Ribbon Wax 100C(110mmx300m-FO),5,10,99,200,10,95000,TOAN TRE,hung.duongquang@se.com
CH13,,cuon,Muc Ribbon Wax 100C(130mmx300m-FO),Muc Ribbon Wax 100C(130mmx300m-FO),5,10,99,200,10,135000,TOAN TRE,hung.duongquang@se.com
CH14,,Cuon,Muc Ribbon Wax 100C/100K (90mmx300m-FO),Muc Ribbon Wax 100C/100K (90mmx300m-FO),7,10,99,200,10,145000,TOAN TRE,hung.duongquang@se.com
CH15,,Cuon,Muc Ribbon Wax Resin (110mmx100m-FO),Muc Ribbon Wax Resin (110mmx100m-FO),7,10,99,200,10,100000,TOAN TRE,hung.duongquang@se.com
CH16,,chai,Nuoc rua 1005 chai 473ml,N??c r?a 1005 chai 473ml/ Solvent ,5,10,99,200,10,115000,TOAN TRE,hung.duongquang@se.com
CH17,,Chai,Silicon,Silicon,5,10,99,200,10,65000,TOAN TRE,hung.duongquang@se.com
MC01,,Cai,May khoan,May khoan,7,10,99,200,10,0,CHECK LAI,hung.duongquang@se.com
MC02,,Cai,Khoan pin cam tay 10.8 V LI,Khoan pin cam tay 10.8 V LI,5,10,99,200,10,80000,TOAN TRE,hung.duongquang@se.com
MC03,,Cai,May quan tem (110 x 175 x 100),May Quan Tem (110 x 175 x 100),7,10,99,200,10,165000,TOAN TRE,hung.duongquang@se.com
MC04,,Cai,May thoi hoi nong 2000W,May thoi hoi nong 2000W,4,10,99,200,10,83000,TOAN TRE,hung.duongquang@se.com
MC05,,Cai,Sung han,Sung han,15,10,99,200,10,83600,TOAN TRE,hung.duongquang@se.com
MC06,,Cai,Sung hoi,Sung hoi,7,10,99,200,10,235000,TOAN TRE,hung.duongquang@se.com
